1e1x	-3.999
1e2k	-3.122
1e2l	-4.171
1fkf	-3.588
1gx8	-4.284
1hdq	-3.380
1m7y	-3.551
1ppi	-3.706
1qin	-3.417
1yc4	-4.054
1zsf	-3.997
2avo	-4.896
2bfq	-4.579
2bok	-3.458
2qbs	-3.759
2v25	-2.276
2vwo	-4.361
2xxx	-2.801
2ygf	-2.572
3ag9	-3.856
3b26	-4.715
3ckz	-3.154
3d7z	-4.892
3d83	-5.053
3dx3	-2.867
3eax	-3.854
3ibi	-3.003
3n2v	-4.257
3nxq	-4.247
3s0b	-3.293
3tcg	-3.088
3vf7	-4.193
3vje	-4.905
4aoi	-5.147
4cig	-4.920
4clj	-4.121
4eor	-5.049
4f5y	-4.684
4fp1	-3.168
4jpx	-3.546
4jpy	-4.112
4mc1	-4.796
4mo4	-3.425
4q87	-3.124
4tmk	-5.354
4xaq	-3.292
4y79	-3.971
4zb8	-3.564
4zbf	-4.494
4zgk	-4.834
5c28	-2.723
5cqu	-4.003
5cxa	-4.707
5kqx	-4.852
5kr2	-5.509
5nkb	-4.866
5nkc	-5.147
5nkd	-4.937
5tya	-3.628
6czf	-3.684
6ezq	-3.958
6g98	-4.731
6p86	-4.742
6udv	-4.887
6ugp	-3.538
